iter	Passed	Remaining
0	1	1225
1	2	1062
2	2	982
3	3	951
4	4	936
5	5	916
6	6	905
7	7	902
8	8	905
9	9	900
10	9	893
11	10	892
12	11	885
13	12	880
14	13	874
15	14	866
16	14	862
17	15	858
18	16	853
19	17	850
20	18	848
21	19	845
22	19	842
23	20	840
24	21	840
25	22	842
26	23	841
27	24	838
28	24	835
29	25	832
30	26	831
31	27	828
32	28	826
33	29	824
34	29	822
35	30	819
36	31	816
37	32	815
38	33	815
39	33	812
40	34	811
41	35	812
42	36	811
43	37	810
44	38	808
45	38	806
46	39	807
47	40	806
48	41	805
49	42	803
50	43	800
51	43	797
52	44	794
53	45	792
54	45	789
55	46	788
56	47	786
57	48	783
58	48	781
59	49	778
60	50	776
61	51	774
62	52	773
63	52	772
64	53	770
65	54	771
66	55	770
67	56	770
68	57	769
69	57	769
70	58	768
71	59	766
72	60	764
73	61	764
74	61	762
75	62	760
76	63	758
77	63	756
78	64	754
79	65	753
80	66	751
81	67	751
82	67	746
83	68	745
84	69	743
85	69	742
86	70	740
87	71	738
88	72	737
89	72	735
90	73	734
91	75	742
92	76	742
93	76	741
94	77	740
95	78	738
96	79	736
97	79	735
98	80	734
99	81	733
100	82	732
101	83	731
102	83	730
103	84	728
104	85	727
105	86	726
106	86	724
107	87	723
108	88	721
109	89	721
110	89	720
111	90	719
112	91	718
113	92	716
114	92	715
115	93	713
116	94	710
117	94	709
118	95	708
119	96	707
120	97	706
121	97	704
122	98	703
123	99	702
124	100	701
125	101	701
126	101	698
127	102	698
128	103	701
129	104	700
130	105	700
131	106	699
132	107	698
133	107	697
134	108	697
135	109	696
136	110	695
137	111	695
138	112	695
139	113	695
140	113	694
141	114	691
142	115	690
143	116	689
144	116	689
145	117	688
146	118	687
147	119	685
148	119	684
149	120	683
150	121	682
151	122	681
152	122	680
153	123	679
154	124	678
155	125	678
156	126	677
157	127	677
158	127	676
159	128	675
160	129	672
161	129	671
162	130	671
163	131	670
164	132	669
165	132	668
166	133	666
167	134	665
168	135	664
169	135	663
170	136	662
171	137	661
172	138	660
173	138	659
174	139	658
175	140	657
176	141	657
177	144	665
178	144	664
179	145	663
180	146	662
181	147	660
182	147	659
183	148	658
184	149	657
185	149	655
186	150	654
187	151	653
188	152	652
189	152	651
190	153	650
191	154	649
192	154	648
193	155	647
194	156	646
195	157	645
196	158	645
197	159	644
198	159	643
199	160	641
200	161	640
201	161	639
202	162	639
203	163	638
204	164	637
205	165	636
206	165	635
207	166	633
208	167	632
209	167	631
210	168	631
211	169	630
212	170	629
213	171	628
214	172	629
215	173	629
216	174	628
217	174	627
218	175	627
219	176	626
220	177	625
221	178	624
222	178	623
223	179	622
224	180	621
225	181	621
226	182	620
227	182	619
228	183	618
229	184	617
230	185	616
231	185	615
232	186	615
233	187	614
234	188	613
235	189	612
236	189	611
237	190	610
238	191	609
239	192	608
240	192	607
241	193	606
242	194	604
243	194	604
244	195	602
245	196	601
246	197	600
247	197	599
248	198	598
249	199	597
250	200	597
251	200	596
252	201	595
253	202	594
254	203	593
255	203	592
256	204	591
257	205	590
258	206	589
259	206	588
260	207	587
261	208	586
262	209	585
263	209	584
264	210	583
265	211	582
266	211	581
267	212	580
268	213	579
269	214	579
270	215	579
271	216	578
272	217	578
273	217	577
274	218	576
275	219	575
276	220	574
277	220	573
278	221	572
279	222	572
280	223	571
281	223	570
282	224	569
283	225	568
284	226	567
285	226	566
286	227	565
287	228	565
288	229	564
289	230	563
290	231	563
291	231	562
292	232	561
293	233	560
294	234	559
295	235	558
296	235	557
297	236	557
298	237	556
299	237	555
300	238	554
301	239	553
302	240	552
303	240	551
304	241	550
305	242	549
306	243	549
307	244	548
308	244	547
309	245	546
310	246	545
311	247	545
312	248	544
313	248	543
314	249	542
315	250	541
316	251	540
317	251	540
318	252	539
319	253	538
320	254	537
321	254	536
322	255	535
323	256	534
324	257	534
325	257	533
326	258	532
327	259	531
328	260	531
329	261	531
330	262	530
331	263	529
332	263	528
333	264	528
334	265	527
335	266	526
336	267	525
337	267	524
338	268	524
339	269	523
340	270	523
341	271	522
342	272	521
343	273	520
344	274	520
345	275	520
346	276	519
347	277	519
348	277	518
349	278	517
350	279	516
351	280	516
352	281	515
353	282	514
354	282	513
355	283	513
356	284	513
357	286	514
358	288	514
359	289	514
360	290	513
361	291	513
362	292	513
363	293	513
364	295	513
365	295	512
366	297	512
367	298	511
368	299	511
369	300	511
370	301	511
371	302	511
372	304	511
373	305	511
374	306	510
375	307	510
376	308	510
377	310	511
378	312	511
379	313	511
380	314	511
381	315	510
382	316	510
383	318	510
384	319	509
385	320	509
386	321	509
387	322	508
388	323	508
389	324	507
390	325	507
391	326	506
392	327	505
393	328	505
394	329	504
395	330	503
396	331	503
397	332	502
398	333	501
399	333	500
400	335	500
401	337	502
402	339	502
403	340	501
404	341	501
405	342	500
406	343	499
407	343	499
408	344	498
409	345	497
410	346	496
411	347	495
412	348	496
413	349	495
414	350	494
415	352	494
416	353	494
417	354	493
418	355	493
419	357	493
420	358	492
421	359	492
422	361	492
423	362	491
424	362	490
425	363	490
426	364	489
427	365	488
428	366	488
429	367	487
430	369	487
431	370	487
432	372	487
433	373	486
434	374	485
435	374	485
436	375	484
437	376	483
438	377	482
439	378	481
440	379	481
441	380	480
442	381	479
443	382	479
444	383	478
445	384	478
446	385	477
447	386	476
448	387	476
449	388	475
450	389	474
451	390	473
452	391	473
453	392	472
454	393	471
455	394	471
456	396	470
457	397	470
458	398	469
459	399	468
460	400	468
461	401	467
462	402	466
463	403	466
464	404	465
465	405	464
466	405	463
467	407	462
468	408	462
469	409	461
470	410	461
471	411	460
472	412	459
473	413	459
474	414	458
475	415	457
476	416	456
477	417	455
478	417	454
479	418	453
480	419	452
481	420	452
482	421	451
483	422	450
484	423	449
485	425	450
486	427	449
487	428	449
488	429	448
489	430	447
490	431	446
491	432	446
492	433	445
493	433	444
494	435	443
495	436	443
496	437	442
497	438	441
498	439	441
499	440	440
500	441	439
501	442	439
502	444	439
503	445	438
504	446	437
505	447	437
506	449	437
507	450	436
508	452	436
509	454	437
510	456	436
511	457	435
512	458	434
513	459	434
514	460	433
515	461	432
516	461	431
517	462	430
518	463	429
519	464	428
520	465	427
521	466	426
522	467	426
523	467	425
524	469	424
525	470	423
526	471	422
527	472	422
528	473	421
529	474	420
530	474	419
531	475	418
532	476	417
533	477	416
534	478	416
535	479	415
536	480	414
537	481	413
538	482	412
539	483	411
540	484	411
541	485	410
542	486	409
543	487	408
544	488	408
545	489	407
546	490	406
547	491	405
548	493	405
549	494	404
550	494	403
551	495	402
552	496	401
553	497	400
554	498	399
555	499	399
556	500	398
557	501	397
558	502	396
559	504	396
560	505	395
561	506	394
562	506	393
563	507	392
564	508	391
565	509	390
566	510	389
567	511	388
568	512	387
569	512	386
570	513	386
571	514	385
572	515	384
573	517	383
574	517	382
575	518	381
576	519	381
577	520	380
578	521	379
579	522	378
580	523	377
581	523	376
582	524	375
583	525	374
584	526	373
585	527	372
586	528	371
587	529	370
588	530	370
589	532	370
590	534	369
591	535	368
592	535	367
593	536	366
594	537	365
595	538	364
596	539	364
597	540	363
598	540	362
599	541	360
600	542	360
601	543	359
602	543	358
603	544	357
604	545	356
605	546	355
606	547	354
607	548	353
608	548	352
609	549	351
610	550	350
611	551	349
612	552	348
613	553	347
614	554	346
615	554	345
616	555	344
617	556	343
618	557	342
619	557	341
620	558	341
621	559	340
622	560	339
623	561	338
624	562	337
625	563	336
626	563	335
627	564	334
628	565	333
629	566	332
630	566	331
631	567	330
632	568	329
633	568	328
634	569	327
635	570	326
636	571	325
637	571	324
638	572	323
639	573	322
640	574	321
641	575	320
642	576	319
643	576	318
644	577	317
645	578	316
646	578	315
647	579	314
648	580	313
649	581	312
650	581	311
651	582	310
652	583	309
653	584	309
654	584	308
655	585	307
656	586	306
657	587	305
658	588	304
659	588	303
660	589	302
661	590	301
662	591	300
663	591	299
664	592	298
665	593	297
666	593	296
667	594	295
668	595	294
669	596	293
670	596	292
671	597	291
672	598	290
673	598	289
674	599	288
675	600	287
676	601	286
677	602	285
678	602	284
679	603	284
680	604	283
681	605	282
682	606	281
683	606	280
684	607	279
685	608	278
686	608	277
687	609	276
688	610	275
689	611	274
690	611	273
691	612	272
692	613	271
693	614	270
694	614	269
695	615	268
696	616	267
697	617	267
698	617	266
699	618	265
700	619	264
701	620	263
702	621	262
703	621	261
704	622	260
705	623	259
706	624	258
707	625	257
708	625	256
709	626	255
710	627	254
711	628	254
712	629	253
713	629	252
714	630	251
715	631	250
716	632	249
717	633	248
718	634	247
719	634	246
720	635	245
721	636	245
722	637	244
723	638	243
724	638	242
725	639	241
726	640	240
727	641	239
728	642	238
729	642	237
730	643	236
731	644	235
732	645	235
733	645	234
734	646	233
735	647	232
736	648	231
737	648	230
738	649	229
739	650	228
740	651	227
741	652	226
742	652	225
743	653	224
744	654	223
745	655	223
746	655	222
747	656	221
748	657	220
749	658	219
750	659	218
751	659	217
752	660	216
753	661	215
754	662	214
755	662	213
756	663	213
757	664	212
758	665	211
759	666	210
760	666	209
761	667	208
762	668	207
763	668	206
764	669	205
765	670	204
766	671	203
767	672	203
768	672	202
769	673	201
770	674	200
771	674	199
772	675	198
773	676	197
774	677	196
775	678	195
776	679	194
777	679	194
778	680	193
779	681	192
780	682	191
781	682	190
782	683	189
783	684	188
784	685	187
785	686	186
786	687	186
787	688	185
788	689	184
789	690	183
790	690	182
791	692	181
792	693	180
793	693	180
794	694	179
795	695	178
796	696	177
797	697	176
798	697	175
799	698	174
800	699	173
801	700	172
802	700	171
803	701	171
804	702	170
805	703	169
806	703	168
807	704	167
808	705	166
809	706	165
810	706	164
811	707	163
812	708	162
813	709	162
814	709	161
815	710	160
816	711	159
817	712	158
818	713	157
819	714	156
820	715	155
821	716	155
822	716	154
823	717	153
824	718	152
825	719	151
826	719	150
827	720	149
828	721	148
829	722	147
830	723	147
831	724	146
832	724	145
833	725	144
834	726	143
835	727	142
836	727	141
837	728	140
838	729	139
839	730	139
840	730	138
841	731	137
842	732	136
843	733	135
844	733	134
845	734	133
846	735	132
847	736	131
848	736	131
849	737	130
850	738	129
851	739	128
852	740	127
853	740	126
854	741	125
855	742	124
856	743	124
857	744	123
858	745	122
859	745	121
860	746	120
861	747	119
862	748	118
863	748	117
864	749	117
865	750	116
866	751	115
867	752	114
868	752	113
869	753	112
870	754	111
871	755	110
872	756	110
873	757	109
874	758	108
875	759	107
876	759	106
877	760	105
878	761	104
879	762	103
880	763	103
881	763	102
882	764	101
883	765	100
884	766	99
885	767	98
886	768	97
887	769	97
888	770	96
889	771	95
890	772	94
891	772	93
892	773	92
893	774	91
894	775	90
895	776	90
896	777	89
897	778	88
898	778	87
899	779	86
900	780	85
901	781	84
902	782	84
903	783	83
904	783	82
905	784	81
